,hospital_admissions,SO2_level,log_hosp,date
666,220,19.01,5.393627546,10/28/1995
667,251,14.78,5.525452939,10/29/1995
668,335,16.5,5.814130532,10/30/1995
669,270,18.88,5.598421959,10/31/1995
670,2,13.63,0.693147181,11/1/1995
671,295,17.99,5.686975356,11/2/1995
672,275,20.5,5.616771098,11/3/1995
673,267,19.09,5.587248658,11/4/1995
674,246,15.13,5.505331536,11/5/1995
675,320,17.55,5.768320996,11/6/1995
676,292,11.61,5.676753802,11/7/1995
677,326,18.36,5.786897381,11/8/1995
678,308,21.57,5.730099783,11/9/1995
679,289,27.76,5.666426688,11/10/1995
680,249,18.12,5.517452896,11/11/1995
681,249,13.27,5.517452896,11/12/1995
682,334,22.36,5.811140993,11/13/1995
683,292,14.64,5.676753802,11/14/1995
684,291,12.84,5.673323267,11/15/1995
685,330,15.31,5.799092654,11/16/1995
686,321,15.79,5.771441123,11/17/1995
687,273,12.59,5.609471795,11/18/1995
688,271,14.31,5.602118821,11/19/1995
689,341,21.89,5.831882477,11/20/1995
690,337,19.83,5.82008293,11/21/1995
691,274,33.04,5.613128106,11/22/1995
692,282,14.96,5.641907071,11/23/1995
693,272,15.1,5.605802066,11/24/1995
694,248,19.59,5.513428746,11/25/1995
695,275,17.14,5.616771098,11/26/1995
696,380,14.69,5.940171253,11/27/1995
697,348,15.1,5.85220248,11/28/1995
698,323,16.49,5.777652323,11/29/1995
699,327,13.71,5.789960171,11/30/1995
700,287,10.8,5.659482216,12/1/1995
701,245,14.75,5.501258211,12/2/1995
702,256,15.26,5.545177444,12/3/1995
703,327,20.06,5.789960171,12/4/1995
704,311,23.43,5.739792912,12/5/1995
705,312,20.86,5.743003188,12/6/1995
706,317,20.02,5.758901774,12/7/1995
707,273,23.92,5.609471795,12/8/1995
708,239,22.87,5.476463552,12/9/1995
709,277,9.82,5.624017506,12/10/1995
710,357,24.78,5.877735782,12/11/1995
711,366,27.72,5.902633333,12/12/1995
712,362,19.89,5.891644212,12/13/1995
713,326,21.82,5.786897381,12/14/1995
714,316,7.99,5.755742214,12/15/1995
715,238,9.13,5.472270674,12/16/1995
716,259,9.36,5.556828062,12/17/1995
717,313,11.16,5.746203191,12/18/1995
718,293,20.29,5.680172609,12/19/1995
719,305,15.27,5.720311777,12/20/1995
720,295,14.25,5.686975356,12/21/1995
721,271,25.56,5.602118821,12/22/1995
722,242,26.43,5.488937726,12/23/1995
723,213,17.6,5.361292166,12/24/1995
724,213,23.37,5.361292166,12/25/1995
725,238,20.51,5.472270674,12/26/1995
726,340,20.13,5.828945618,12/27/1995
727,294,18.78,5.683579767,12/28/1995
728,290,19.72,5.669880923,12/29/1995
729,253,27.07,5.533389489,12/30/1995
730,261,33.18,5.564520407,12/31/1995
